"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REEP6",575.337839687289,-3.26079319858316,0.170563189576256,-19.117801482748,1.79516495358054e-81,1.99340613601422e-79
"SDC1",17913.6092632507,4.5073236412583,0.235802460347189,19.1148287198609,1.90042939015162e-81,2.10024596603042e-79
"KRT19",37722.5240263477,8.12283573987738,0.425425436985597,19.0934416085524,2.8627295850363e-81,3.1487311947641e-79
"EXT1",1887.80902286459,3.68532145261507,0.193115487078999,19.0835106410057,3.46204705857793e-81,3.78996170450361e-79
"MAPT",477.569841438988,-6.16958498029874,0.323921287111598,-19.0465561411936,7.01693589344386e-81,7.64549522136362e-79
"TMEM154",2723.15451775698,5.10905623626185,0.268720158953522,19.0125528957636,1.3425694666242e-80,1.45599776548665e-78
"FCGBP",447.841683424899,-6.32592065856145,0.333037696727279,-18.9946084804378,1.88991629815948e-80,2.04005476500862e-78
"BASP1",1774.0601139869,10.2599308817899,0.540468670885518,18.9833961420553,2.33971913683103e-80,2.51389822812845e-78
"GSTO2",698.118088758224,4.15123354463847,0.218687722760948,18.9824718654932,2.38124818921621e-80,2.5467284781258e-78
"NTN4",1039.19048577175,7.61394267238796,0.401155935582035,18.9800075158827,2.49560286680101e-80,2.65678675838155e-78
"COL12A1",6734.68843304068,8.58843931625987,0.45336845610803,18.9436190377863,4.98498487075989e-80,5.28271821372583e-78
"DMKN",2349.92895048735,10.8442868047747,0.573801530693308,18.8990203488511,1.16189861104333e-79,1.22569740750426e-77
"ETHE1",1629.72338925488,3.25709119975145,0.172491749903067,18.8825912055608,1.58610295908552e-79,1.66562341513379e-77
"NRP2",1084.89129840832,8.57824022521571,0.454891649467112,18.8577658773574,2.53716346765911e-79,2.65236440348796e-77
"GAS6",3517.00446219337,5.43411181012054,0.288391015342047,18.8428609805177,3.36287074489238e-79,3.49979839674719e-77
"SLC2A9",966.536811195176,7.92530215161585,0.420750770261398,18.8360965963108,3.82129560483956e-79,3.95913519629985e-77
"FAM213A",850.582168276611,6.75366206263251,0.358601494959957,18.8333349346094,4.02590790854933e-79,4.15258981073835e-77
"KRT6C",3493.77913045737,4.29021114777436,0.227938515278887,18.8217912296446,5.00631443481383e-79,5.14099758421059e-77
"ARPC2",12647.6226554321,2.5033250197632,0.133036155472254,18.8168773434323,5.49278671007142e-79,5.61570898534527e-77
